factor,ic,ic_abs,p_value,n_obs
auto_lower_shadow_auto_processed,-0.01656194965081972,0.01656194965081972,0.011155073149214429,23479
auto_lower_shadow_auto_1_processed,-0.01656194965081972,0.01656194965081972,0.011155073149214429,23479
auto_lower_shadow_ratio_auto_processed,-0.01656194965081972,0.01656194965081972,0.011155073149214429,23479
auto_volatility_5_1_processed,0.015962037730274756,0.015962037730274756,0.014450466376597575,23479
auto_volatility_5_processed,0.015962037730274756,0.015962037730274756,0.014450466376597575,23479
auto_quantile_ratio_0.75_5_1_processed,-0.015720092611907745,0.015720092611907745,0.016005584981100145,23479
auto_quantile_ratio_0.75_5_processed,-0.015720092611907745,0.015720092611907745,0.016005584981100145,23479
auto_low_log_return_20_processed,0.015103260828140739,0.015103260828140739,0.020653459299060564,23479
auto_low_log_return_20_1_processed,0.015103260828140739,0.015103260828140739,0.020653459299060564,23479
auto_low_ratio_20_processed,0.015079883561531077,0.015079883561531077,0.020850668944399867,23479
auto_low_ratio_20_1_processed,0.015079883561531077,0.015079883561531077,0.020850668944399867,23479
auto_quantile_ratio_0.9_60_processed,0.01488837851682441,0.01488837851682441,0.02252891607567826,23479
auto_quantile_ratio_0.9_60_1_processed,0.01488837851682441,0.01488837851682441,0.02252891607567826,23479
auto_std_ratio_30_1_processed,0.014591294607262812,0.014591294607262812,0.02536464965216883,23479
auto_std_ratio_30_processed,0.014591294607262812,0.014591294607262812,0.02536464965216883,23479
auto_quantile_ratio_0.75_60_1_processed,0.014559221088513392,0.014559221088513392,0.025688526521714432,23479
auto_quantile_ratio_0.75_60_processed,0.014559221088513392,0.014559221088513392,0.025688526521714432,23479
auto_volume_ma_ratio_10_processed,0.014097196810996212,0.014097196810996212,0.030766022265260592,23479
auto_volume_ma_ratio_10_1_processed,0.014097196810996212,0.014097196810996212,0.030766022265260592,23479
auto_up_days_1_processed,0.013762329488813747,0.013762329488813747,0.03496444864553857,23479
auto_up_days_processed,0.013762329488813747,0.013762329488813747,0.03496444864553857,23479
auto_open_log_return_30_processed,-0.01354645681486362,0.01354645681486362,0.037922708975746275,23479
auto_open_log_return_30_1_processed,-0.01354645681486362,0.01354645681486362,0.037922708975746275,23479
auto_volume_std_10_processed,0.013491372776053796,0.013491372776053796,0.03871079090376885,23479
auto_volume_std_10_1_processed,0.013491372776053796,0.013491372776053796,0.03871079090376885,23479
auto_low_log_return_30_1_processed,-0.013150258534094936,0.013150258534094936,0.043907229114079065,23479
auto_low_log_return_30_processed,-0.013150258534094936,0.013150258534094936,0.043907229114079065,23479
auto_open_ratio_30_processed,-0.013095335767066668,0.013095335767066668,0.04479664062195994,23479
auto_open_ratio_30_1_processed,-0.013095335767066668,0.013095335767066668,0.04479664062195994,23479
auto_volume_std_20_processed,0.012835832780267398,0.012835832780267398,0.04920709989281102,23479
auto_volume_std_20_1_processed,0.012835832780267398,0.012835832780267398,0.04920709989281102,23479
auto_high_ratio_20_processed,0.012727548065361324,0.012727548065361324,0.05115236169679559,23479
auto_high_ratio_20_1_processed,0.012727548065361324,0.012727548065361324,0.05115236169679559,23479
auto_low_ratio_30_processed,-0.012653130703649776,0.012653130703649776,0.05252621682877918,23479
auto_low_ratio_30_1_processed,-0.012653130703649776,0.012653130703649776,0.05252621682877918,23479
auto_high_log_return_20_1_processed,0.012611849649205455,0.012611849649205455,0.05330153774229609,23479
auto_high_log_return_20_processed,0.012611849649205455,0.012611849649205455,0.05330153774229609,23479
auto_price_ma_ratio_5_processed,-0.012022558814698495,0.012022558814698495,0.06545055104495592,23479
auto_price_ma_ratio_5_1_processed,-0.012022558814698495,0.012022558814698495,0.06545055104495592,23479
vr_5_processed,0.012015889699710154,0.012015889699710154,0.06560013102272354,23479
auto_kurtosis_60_processed,-0.011188666921271672,0.011188666921271672,0.0864578566429213,23479
auto_kurtosis_60_1_processed,-0.011188666921271672,0.011188666921271672,0.0864578566429213,23479
auto_quantile_ratio_0.1_10_processed,0.011045810801224992,0.011045810801224992,0.09055153699700078,23479
auto_quantile_ratio_0.1_10_1_processed,0.011045810801224992,0.011045810801224992,0.09055153699700078,23479
auto_amount_ma_ratio_10_1_processed,0.010734035172036301,0.010734035172036301,0.10002738968218165,23479
auto_amount_ma_ratio_10_processed,0.010734035172036301,0.010734035172036301,0.10002738968218165,23479
auto_skew_10_processed,0.01023216478775241,0.01023216478775241,0.11692367800184383,23479
auto_skew_10_1_processed,0.01023216478775241,0.01023216478775241,0.11692367800184383,23479
auto_quantile_ratio_0.25_5_processed,-0.009363285084854416,0.009363285084854416,0.15137887394281255,23479
auto_quantile_ratio_0.25_5_1_processed,-0.009363285084854416,0.009363285084854416,0.15137887394281255,23479
auto_quantile_ratio_0.9_20_1_processed,0.00923555991156902,0.00923555991156902,0.15703723387345664,23479
auto_quantile_ratio_0.9_20_processed,0.00923555991156902,0.00923555991156902,0.15703723387345664,23479
auto_amount_ma_5_1_processed,-0.009045192753265461,0.009045192753265461,0.16576624327135833,23479
auto_amount_ma_5_processed,-0.009045192753265461,0.009045192753265461,0.16576624327135833,23479
auto_quantile_ratio_0.9_10_processed,-0.008816278358968194,0.008816278358968194,0.1767402174579443,23479
auto_quantile_ratio_0.9_10_1_processed,-0.008816278358968194,0.008816278358968194,0.1767402174579443,23479
rsi_6_processed,-0.008674620809051622,0.008674620809051622,0.1837971245835686,23479
auto_std_ratio_10_1_processed,0.008440239558500276,0.008440239558500276,0.19592800900295781,23479
auto_std_ratio_10_processed,0.008440239558500276,0.008440239558500276,0.19592800900295781,23479
