factor,ic,ic_abs,ir,monotonicity,ic_win_rate,coverage,n_obs,ic_score,ir_score,mono_score,win_rate_score,coverage_score,composite_score
auto_quantile_0.75_20_processed,-0.028915264676351412,0.028915264676351412,0.20138534870572264,-0.8999999999999998,0.6749999915625001,1.0,23479,0.12777447879784892,0.8916517695845941,0.8999991000008999,0.6749999915625001,1.0,0.6861063808301658
auto_high_log_return_60_processed,-0.05157944882293746,0.05157944882293746,-0.4428227760773028,-0.8999999999999998,0.6749999915625001,1.0,23479,0.4841265374458743,0.531597052887769,0.8999991000008999,0.6749999915625001,1.0,0.6851807163179658
auto_high_log_return_60_1_processed,-0.05157944882293746,0.05157944882293746,-0.4428227760773028,-0.8999999999999998,0.6749999915625001,1.0,23479,0.4841265374458743,0.531597052887769,0.8999991000008999,0.6749999915625001,1.0,0.6851807163179658
auto_quantile_0.1_10_1_processed,-0.036318827941557254,0.036318827941557254,-0.016671106529309664,-0.8999999999999998,0.6749999915625001,1.0,23479,0.24418171383544487,0.769777716474806,0.8999991000008999,0.6749999915625001,1.0,0.6847396763121177
auto_quantile_0.1_10_processed,-0.036318827941557254,0.036318827941557254,-0.016671106529309664,-0.8999999999999998,0.6749999915625001,1.0,23479,0.24418171383544487,0.769777716474806,0.8999991000008999,0.6749999915625001,1.0,0.6847396763121177
auto_quantile_0.25_10_processed,-0.034284315776814865,0.034284315776814865,0.008058291959986,-0.8999999999999998,0.6624999917187501,1.0,23479,0.21219280156923348,0.7835992381610548,0.8999991000008999,0.6624999917187501,1.0,0.6783228286905646
auto_quantile_0.25_10_1_processed,-0.034284315776814865,0.034284315776814865,0.008058291959986,-0.8999999999999998,0.6624999917187501,1.0,23479,0.21219280156923348,0.7835992381610548,0.8999991000008999,0.6624999917187501,1.0,0.6783228286905646
auto_quantile_0.9_5_processed,-0.035731895325281836,0.035731895325281836,-0.18813295843678812,-0.9999999999999999,0.6624999917187501,1.0,23479,0.23495329225429912,0.6739458786915535,0.999999000001,0.6624999917187501,1.0,0.6765995914944757
auto_quantile_0.9_5_1_processed,-0.035731895325281836,0.035731895325281836,-0.18813295843678812,-0.9999999999999999,0.6624999917187501,1.0,23479,0.23495329225429912,0.6739458786915535,0.999999000001,0.6624999917187501,1.0,0.6765995914944757
auto_quantile_0.9_20_processed,-0.028239061152992993,0.028239061152992993,0.18956021373324736,-0.8999999999999998,0.6374999920312501,1.0,23479,0.11714243856841415,0.885042576905054,0.8999991000008999,0.6374999920312501,1.0,0.6761710726732346
