date,total_value,cash
2022-08-31,24741.981153234407,21839.698570500597
2022-09-01,24607.983717496176,21839.698570500597
2022-09-02,24671.282070574074,21839.698570500597
2022-09-05,24689.040184076635,21839.698570500597
2022-09-06,24726.877259077748,21839.698570500597
2022-09-07,24630.140285055844,21839.698570500597
2022-09-08,24564.4658126563,21839.698570500597
2022-09-09,24555.962121290515,21839.698570500597
2022-09-13,24590.53869722275,21839.698570500597
2022-09-14,24543.947009658146,21839.698570500597
2022-09-15,24448.094380496226,21839.698570500597
2022-09-16,24234.89726135982,21839.698570500597
2022-09-19,24010.765127295534,21839.698570500597
2022-09-20,24028.081034191597,21839.698570500597
2022-09-21,24084.852831017903,21839.698570500597
2022-09-22,24060.913969183555,21839.698570500597
2022-09-23,23942.99289432781,21839.698570500597
2022-09-26,23750.983757024995,21769.42790272364
2022-09-27,23838.325733442176,21615.163814956057
2022-09-28,23712.76049342557,21615.163814956057
2022-09-29,23634.282890700466,21615.163814956057
2022-09-30,23596.818949573113,21615.163814956057
2022-10-10,23557.595186883078,21615.163814956057
2022-10-11,23525.383739187884,21615.163814956057
2022-10-12,23648.978303994565,21615.163814956057
2022-10-13,23640.315316151104,21615.163814956057
2022-10-14,23633.68405088708,21615.163814956057
2022-10-17,23708.0896021462,21461.707226616836
2022-10-18,23699.68470007298,21461.707226616836
2022-10-19,23672.956266562014,21461.707226616836
2022-10-20,23625.691389603566,21461.707226616836
2022-10-21,23606.036699136395,21461.707226616836
2022-10-24,23460.829990810787,21604.127859702265
2022-10-25,23324.602595347635,21458.704702667088
2022-10-26,23425.41183209585,21458.704702667088
2022-10-27,23490.956820742103,21458.704702667088
2022-10-28,23254.41583746858,21286.37632338055
2022-10-31,23275.208460796974,21286.37632338055
2022-11-01,23382.063249758627,21286.37632338055
2022-11-02,23449.770160109307,21286.37632338055
2022-11-03,23393.254035067024,21286.37632338055
2022-11-04,23393.204391913492,21286.37632338055
2022-11-07,23468.383544291308,21286.37632338055
2022-11-08,23488.81737472616,21140.270179025712
2022-11-09,23501.285459070354,21140.270179025712
2022-11-10,23531.55726688077,21140.270179025712
2022-11-11,23552.606082079077,21140.270179025712
2022-11-14,23558.16607056953,21140.270179025712
2022-11-15,23576.523715425763,21140.270179025712
2022-11-16,23367.109517458408,21140.270179025712
2022-11-17,23448.407083503505,21140.270179025712
2022-11-18,23393.0335302171,21140.270179025712
2022-11-21,23370.930969691162,21140.270179025712
2022-11-22,23267.237344248533,21140.270179025712
2022-11-23,23143.866807979823,21140.270179025712
2022-11-24,23170.687654650734,21140.270179025712
2022-11-25,23192.735418135726,21140.270179025712
2022-11-28,23172.263117774226,21140.270179025712
2022-11-29,23155.959428582624,21140.270179025712
2022-11-30,23181.6393112662,21041.625647237634
2022-12-01,23145.40729755237,21041.625647237634
2022-12-02,23158.054664602827,21041.625647237634
2022-12-05,23157.204285343156,20890.4007148052
2022-12-06,23098.45573828571,20890.4007148052
2022-12-07,23062.286043289536,20890.4007148052
2022-12-08,23055.359749271527,20890.4007148052
2022-12-09,23051.72060956252,20890.4007148052
2022-12-12,22939.103208756726,20890.4007148052
2022-12-13,22946.650466246658,20890.4007148052
2022-12-14,22909.334391012086,20890.4007148052
2022-12-15,22872.47899085684,20890.4007148052
2022-12-16,22806.184030540942,20890.4007148052
2022-12-19,22653.521687069206,20890.4007148052
2022-12-20,22566.33020982488,20890.4007148052
2022-12-21,22526.10125815096,20890.4007148052
2022-12-22,22457.258939628442,20890.4007148052
2022-12-23,22271.09154495233,20890.4007148052
2022-12-26,22268.35575516458,20890.4007148052
2022-12-27,22292.413214679164,20890.4007148052
2022-12-28,22221.951547557488,20890.4007148052
2022-12-29,22197.918596319632,20890.4007148052
2022-12-30,22065.262129190764,20890.4007148052
2023-01-03,22107.73944068371,20890.4007148052
2023-01-04,22130.86974521592,20890.4007148052
2023-01-05,22125.94602388253,20890.4007148052
2023-01-06,22078.964760365237,20890.4007148052
2023-01-09,21984.826449446027,20890.4007148052
2023-01-10,21957.848574239284,20791.17258566613
2023-01-11,21910.98064489293,20791.17258566613
2023-01-12,21884.437476362862,20791.17258566613
2023-01-13,21882.373388454387,20791.17258566613
2023-01-16,21893.20815427137,20791.17258566613
2023-01-17,21861.575473366585,20791.17258566613
2023-01-18,21867.543104214416,20791.17258566613
2023-01-19,21894.26401255757,20791.17258566613
2023-01-20,21935.890820480654,20791.17258566613
2023-01-30,21974.933771097887,20791.17258566613
2023-01-31,21991.25423535761,20791.17258566613
2023-02-01,22053.445856790575,20791.17258566613
2023-02-02,22044.58908738457,20791.17258566613
2023-02-03,22034.12829724305,20791.17258566613
2023-02-06,22040.445034402837,20791.17258566613
2023-02-07,22046.3555309662,20865.755383362128
2023-02-08,22001.403984546796,20865.755383362128
2023-02-09,22006.100212182362,20865.755383362128
2023-02-10,22037.055210385828,20865.755383362128
2023-02-13,22056.737333436384,20728.481468562128
2023-02-14,22044.952009068307,20728.481468562128
2023-02-15,22057.206423202715,20728.481468562128
2023-02-16,21978.57800842245,20728.481468562128
2023-02-17,21951.567771427926,20728.481468562128
2023-02-20,21944.005648030598,20728.481468562128
2023-02-21,21967.54170671905,20728.481468562128
2023-02-22,21872.0814611386,20728.481468562128
2023-02-23,21855.139974339192,20728.481468562128
