date,nav
2022-04-13,130813204.93726787
2022-04-14,130082364.05324551
2022-04-15,125383183.23650208
2022-04-18,128207142.75449383
2022-04-19,125083434.04841548
2022-04-20,124261438.41730236
2022-04-21,118989514.11779012
2022-04-22,114715231.51957041
2022-04-25,105032745.99975081
2022-04-26,104106295.49390745
2022-04-27,106409725.23834136
2022-04-28,106061008.73497774
2022-04-29,107701770.86293688
2022-05-05,108262402.00970495
2022-05-06,99729760.04848164
2022-05-09,102516022.6858829
2022-05-10,104784475.97639526
2022-05-11,106307518.67666338
2022-05-12,107922257.17482682
2022-05-13,107767991.61487277
2022-05-16,106145839.89233807
2022-05-17,105991588.91320899
2022-05-18,106399149.42923711
2022-05-19,108116905.93953148
2022-05-20,109414892.61678182
2022-05-23,112090663.22723259
2022-05-24,104707322.02136134
2022-05-25,107271156.23090342
2022-05-26,109119524.89010562
2022-05-27,107120645.41236845
2022-05-30,110536310.53592157
2022-05-31,112953584.64414904
2022-06-01,113884220.16258734
2022-06-02,113990556.62094966
2022-06-06,115681430.67320153
2022-06-07,118986305.07881127
2022-06-08,124095706.6846762
2022-06-09,122490107.34420194
2022-06-10,127056176.40388992
2022-06-13,121981526.93480356
2022-06-14,130365274.40251045
2022-06-15,133816507.58536363
2022-06-16,128315367.24925496
2022-06-17,130866591.27973357
2022-06-20,133861668.1019261
2022-06-21,131486281.45280536
2022-06-22,125736960.27523442
2022-06-23,130247979.2227906
2022-06-24,134493541.93449062
2022-06-27,137653181.42120767
2022-06-28,138760410.24371803
2022-06-29,130680048.16197051
2022-06-30,132820247.55742516
2022-07-01,130401690.31348467
2022-07-04,130550358.11909364
2022-07-05,129359840.8564918
2022-07-06,125973750.47287592
2022-07-07,126440400.55594936
2022-07-08,126702024.19249584
2022-07-11,126975933.64041445
2022-07-12,129753588.38720056
2022-07-13,129847177.11303382
2022-07-14,129493148.85362782
2022-07-15,123127573.20943329
2022-07-18,127717313.06670539
2022-07-19,125406011.20254768
2022-07-20,128796027.65844205
2022-07-21,126711780.3579897
2022-07-22,126073077.6873647
2022-07-25,123614949.0096448
2022-07-26,125520304.85680366
2022-07-27,126409705.77105185
2022-07-28,125521295.05502692
2022-07-29,123849626.16807769
2022-08-01,124360038.71929654
2022-08-02,114020571.20440975
2022-08-03,113191677.84570026
2022-08-04,125018637.30276802
2022-08-05,122078456.30957507
2022-08-08,123062703.28663976
2022-08-09,125433404.56940153
2022-08-10,123642068.53127296
2022-08-11,122256772.96781924
2022-08-12,119867852.4966852
2022-08-15,118888896.2038832
2022-08-16,120172424.89636451
2022-08-17,126370427.0459615
2022-08-18,130496124.4111695
2022-08-19,136784092.42432237
2022-08-22,144078748.21939498
2022-08-23,152518752.94285658
2022-08-24,141485792.0451656
2022-08-25,134118749.0793633
2022-08-26,125657624.58937651
2022-08-29,123064095.35808204
2022-08-30,123292749.18050806
2022-08-31,119490952.99409133
2022-09-01,120013620.60568635
2022-09-02,119716307.68784419
2022-09-05,122813830.94935244
2022-09-06,129636314.74865429
2022-09-07,126428885.43947075
2022-09-08,123694459.6007186
2022-09-09,125052864.74517758
