date,total_value,cash
2021-09-06,361230.2737012827,20991.101575016895
2021-09-07,296222.0695917963,20991.101575016895
2021-09-08,298618.77203680633,20991.101575016895
2021-09-09,299963.34800713405,20991.101575016895
2021-09-10,289205.2557709223,20991.101575016895
2021-09-13,299954.14864761924,22763.539809923735
2021-09-14,291651.5261448377,22763.539809923735
2021-09-15,296399.7960749363,22763.539809923735
2021-09-16,299508.68223595765,22763.539809923735
2021-09-17,287864.93645353086,22763.539809923735
2021-09-22,276670.404997255,22763.539809923735
2021-09-23,291338.5111360716,22763.539809923735
2021-09-24,272614.3032908732,25509.99354673694
2021-09-27,250720.44315102574,63951.16650023896
2021-09-28,238860.7631775464,46448.16395816422
2021-09-29,223275.56041945948,45551.76267832016
2021-09-30,215574.2821017891,39052.780614954936
2021-10-08,208421.27446959956,34117.80330280236
2021-10-11,199654.47208406578,29957.024387595706
2021-10-12,192265.4154886831,30214.367853327334
2021-10-13,188873.70299227326,29349.362851716258
2021-10-14,191137.7159650275,27718.499953199647
2021-10-15,185842.28980440577,28637.103636246906
2021-10-18,183138.90464207734,28637.103636246906
2021-10-19,181996.2508018018,29166.041081468662
2021-10-20,179226.4339437762,28272.02620826342
2021-10-21,175235.27420971997,28272.02620826342
2021-10-22,170896.9575476817,29513.00227701181
2021-10-25,165469.00882830852,29513.00227701181
2021-10-26,163819.7837059363,29212.585683475267
2021-10-27,156133.8114633601,29314.687206290095
2021-10-28,150290.80299689597,30861.823552508944
2021-10-29,151109.74869997124,30505.39480994057
2021-11-01,152473.40718219322,29743.220962504573
2021-11-02,146670.9019852702,29807.93987161011
2021-11-03,146793.00824682307,29155.604744604847
2021-11-04,148543.25282348855,29155.604744604847
2021-11-05,147326.7304228092,29155.604744604847
2021-11-08,147869.8487209585,29155.604744604847
2021-11-09,149508.37674714302,28725.26772801717
2021-11-10,150962.85837200994,28725.26772801717
2021-11-11,151879.89038682843,28725.26772801717
2021-11-12,151549.36311983466,28247.31920082052
2021-11-15,149839.70781632926,28247.31920082052
2021-11-16,149721.26370077906,28247.31920082052
2021-11-17,147657.3540431332,28247.31920082052
2021-11-18,145186.8126637447,27861.40154644552
2021-11-19,146969.32524059378,27861.40154644552
2021-11-22,145079.7445030477,27861.40154644552
2021-11-23,146467.75382776608,27380.081837267437
2021-11-24,141642.69966669925,26730.985123939256
2021-11-25,141729.71551436005,26730.985123939256
2021-11-26,142483.0966023233,26730.985123939256
2021-11-29,139019.49190154576,28525.135501275414
2021-11-30,139114.44746858225,28525.135501275414
2021-12-01,140478.25089665534,28525.135501275414
2021-12-02,138087.22221602185,28525.135501275414
2021-12-03,139835.73921515697,28525.135501275414
2021-12-06,137214.00399732188,28525.135501275414
2021-12-07,137217.73424172765,28144.136814071622
2021-12-08,120734.00344149607,28144.136814071622
2021-12-09,120964.85550540037,28144.136814071622
2021-12-10,119811.85726101119,28144.136814071622
2021-12-13,117760.84647325038,28144.136814071622
2021-12-14,119236.51695472257,28144.136814071622
2021-12-15,119414.37859010302,28144.136814071622
2021-12-16,119364.91623484883,28144.136814071622
2021-12-17,118617.92774704177,27846.809823245934
2021-12-20,113662.71234709295,27846.809823245934
2021-12-21,115048.40924090303,27846.809823245934
2021-12-22,116799.3609041989,27425.6706943748
2021-12-23,115554.83483137212,27425.6706943748
2021-12-24,111646.06449799523,27119.254811874798
2021-12-27,112852.25259765309,26951.7168149329
2021-12-28,112978.49530193962,26951.7168149329
2021-12-29,113875.12541389038,26698.59261846647
2021-12-30,116980.81132895054,26698.59261846647
2021-12-31,120304.15624018309,26698.59261846647
2022-01-04,124615.58598243639,26698.59261846647
2022-01-05,124918.32168131863,26698.59261846647
2022-01-06,122662.02346042052,26698.59261846647
2022-01-07,118934.3396246609,26445.689499547552
2022-01-10,123555.40554225506,26259.361123719736
2022-01-11,119178.47747814187,26259.361123719736
2022-01-12,119905.17612620148,26259.361123719736
2022-01-13,121429.50305407957,26259.361123719736
2022-01-14,117710.28335815149,26259.361123719736
2022-01-17,123045.43880455536,26259.361123719736
2022-01-18,120205.89992584739,26259.361123719736
2022-01-19,120850.55657190479,26259.361123719736
2022-01-20,116858.65512638164,26259.361123719736
2022-01-21,113975.44394826368,32327.441238234198
2022-01-24,113429.58360156823,31387.075608727926
2022-01-25,107511.46461888566,30544.976164953005
2022-01-26,105146.55783201163,30370.423799953005
2022-01-27,98842.99917031405,30370.423799953005
2022-01-28,96523.70764007955,30370.423799953005
2022-02-07,93050.83635144732,30263.11625503016
2022-02-08,90856.70268728444,30263.11625503016
2022-02-09,92107.5874833348,29982.089813970557
2022-02-10,93147.29907053612,29833.851570570558
2022-02-11,90798.04906572429,29833.851570570558
