date,stock,shares,price,value
2021-03-26,002535.SZ,184,1.1881978798586563,218.62840989399277
2021-03-26,000002.SZ,3594,28.96511056511049,104100.60737100709
2021-03-26,300548.SZ,89,13.692644508670533,1218.6453612716775
2021-03-26,000011.SZ,607,19.411934805467933,11783.044426919036
2021-03-26,002688.SZ,20338,5.204375951293761,105846.59809741251
2021-03-26,603458.SH,97,14.676933003128262,1423.6625013034413
2021-03-26,603995.SH,300,33.52810661764708,10058.431985294124
2021-03-26,300721.SZ,72,62.6672258316008,4512.040259875258
2021-03-26,002471.SZ,93,2.488281250000001,231.41015625000009
2021-03-26,600678.SH,27293,3.907741559953431,106653.99039580899
2021-03-26,600053.SH,10661,9.241526635681076,98523.91546299595
2021-03-26,002661.SZ,207,20.148946568201545,4170.831939617719
2021-03-26,603279.SH,5100,19.24965862539823,98173.25898953096
2021-03-26,600035.SH,213,2.291293604651165,488.0455377906982
2021-03-26,300803.SZ,83,19.141479436405188,1588.7427932216306
2021-03-26,002554.SZ,2605,4.41118421052632,11491.134868421064
2021-03-26,600755.SH,164,5.970192307692307,979.1115384615383
2021-03-29,600115.SH,100,5.301288395904422,530.1288395904421
2021-03-29,002246.SZ,21,5.70555263157894,119.81660526315774
2021-03-29,300447.SZ,63,14.419551603206422,908.4317510020046
2021-03-29,300878.SZ,89,34.85223901776904,3101.8492725814444
2021-03-29,002774.SZ,199,4.917980519480516,978.6781233766228
2021-03-29,000826.SZ,21216,4.789131720430109,101606.21858064519
2021-03-29,002033.SZ,417,10.654960317460333,4443.118452380959
2021-03-29,300562.SZ,227,19.168712710765234,4351.297785343708
2021-03-29,000958.SZ,103,4.191994680851059,431.7754521276591
2021-03-29,603659.SH,1210,105.3464694187816,127469.22799672573
2021-03-29,300872.SZ,50,16.822285378283016,841.1142689141508
2021-03-29,300171.SZ,47,60.72975138121548,2854.2983149171273
2021-03-29,300674.SZ,2635,46.64000089605731,122896.402361111
2021-03-29,688101.SH,38323,12.558036242603556,481261.6229252961
2021-03-29,600872.SH,2050,62.49743842996407,128119.74878142634
2021-03-29,600177.SH,11268,9.576831476323136,107911.7370752091
2021-03-29,600509.SH,12812,9.225924932975872,118202.55024128687
2021-03-29,002795.SZ,85,8.760031534688135,744.6026804484915
2021-03-29,000411.SZ,7722,15.109455810147296,116675.21776595742
2021-03-29,603093.SH,568,9.417475908080052,5349.126315789469
2021-03-29,600110.SH,1231,10.968450413223174,13502.162458677727
2021-03-29,002392.SZ,91,5.992907268170443,545.3545614035103
2021-03-29,600808.SH,672,3.0575,2054.64
2021-03-29,002566.SZ,14248,7.011429640718556,99898.84952095799
2021-03-29,000605.SZ,2696,4.503568345323746,12141.62025899282
2021-03-29,002749.SZ,10144,10.110022159548734,102556.06478646236
2021-03-29,600569.SH,92,2.540039062499997,233.68359374999972
2021-03-29,600702.SH,647,198.89120723684235,128682.611082237
2021-03-29,000506.SZ,185,1.5375255972696245,284.44223549488055
2021-03-29,000966.SZ,314,14.588594080338272,4580.818541226217
2021-03-29,600728.SH,9,4.49990702479339,40.499163223140506
2021-03-29,600712.SH,366,1.5256269113149847,558.3794495412844
2021-03-29,300182.SZ,178,3.149016393442619,560.5249180327862
2021-03-29,000937.SZ,90,3.709999999999997,333.8999999999997
2021-03-29,300819.SZ,1590,78.0962211981567,124172.99170506914
2021-03-29,605336.SH,639,21.623363350485988,13817.329180960547
2021-03-29,000816.SZ,14624,6.802516556291382,99480.00211920516
2021-03-29,601899.SH,622,20.643947368421085,12840.535263157915
2021-03-29,600929.SH,95,4.411437216338888,419.0865355521944
2021-03-29,300720.SZ,3087,30.659528543938418,94645.9646151379
2021-03-29,002927.SZ,19844,5.195241817293598,103094.37862237416
2021-03-29,601015.SH,8131,15.018885448916414,122118.55758513937
2021-03-29,002170.SZ,75,4.723281249999994,354.24609374999955
2021-03-29,002494.SZ,98,2.204455445544557,216.0366336633666
2021-03-29,002240.SZ,2188,53.79506273525731,117703.597264743
2021-03-29,000680.SZ,23398,4.479729729729729,104816.7162162162
2021-03-29,601198.SH,10939,9.513287461773688,104065.85154434237
2021-03-29,300735.SZ,49,5.335522039596567,261.44057994023177
2021-03-29,000031.SZ,85,2.1400276243093965,181.9023480662987
2021-03-29,002707.SZ,1642,6.839304897314387,11230.138641390224
2021-03-29,603369.SH,1574,75.88399999999986,119441.41599999978
2021-03-29,000545.SZ,98,2.714102564102564,265.98205128205126
2021-03-29,600261.SH,53,3.2681263157894684,173.21069473684182
2021-03-29,000802.SZ,82,3.1264824120602945,256.37155778894413
2021-03-29,300756.SZ,6470,14.827130311614708,95931.53311614715
2021-03-29,601588.SH,177,1.623303303303305,287.324684684685
2021-03-29,300218.SZ,107,17.545586034912738,1877.3777057356629
2021-03-29,300221.SZ,136,8.768593481989697,1192.5287135505987
2021-03-29,002489.SZ,4,3.1093442622950773,12.43737704918031
2021-03-29,002878.SZ,9862,12.591010116492969,124172.54176885365
2021-03-29,601226.SH,16,4.018770491803276,64.30032786885242
2021-03-29,002233.SZ,12,11.93962470680218,143.27549648162616
2021-03-29,300192.SZ,7227,13.669020600558673,98786.01188023752
2021-03-29,002580.SZ,190,6.443078703703699,1224.1849537037028
2021-03-29,300707.SZ,17,10.10301877470354,171.75131916996017
2021-03-29,002716.SZ,246,1.913989547038328,470.84142857142865
2021-03-29,300864.SZ,1186,68.65610137332853,81426.13622876763
2021-03-29,605100.SH,81,32.62298388517082,2642.4616946988363
2021-03-29,300564.SZ,107,18.319756130064,1960.213905916848
2021-03-29,688160.SH,4866,19.82405784399648,96463.86546888688
2021-03-29,002482.SZ,706,1.5370088300220732,1085.1282339955837
2021-03-29,603360.SH,78,5.659449515116951,441.4370621791222
2021-03-29,600673.SH,270,2.5188467336683487,680.0886180904541
2021-03-29,600279.SH,104,2.812297592997807,292.47894967177194
2021-03-29,600602.SH,286,3.773894173602856,1079.333733650417
2021-03-29,688233.SH,6269,15.543944330425845,97444.98700743962
2021-03-29,603309.SH,20,10.906821282401108,218.13642564802217
2021-03-29,000995.SZ,1018,12.370129032258069,12592.791354838713
2021-03-29,603616.SH,21322,4.184721556886228,89226.63303592816
2021-03-29,603908.SH,133,20.400474794841728,2713.26314771395
2021-03-29,300717.SZ,37,12.173255884127949,450.4104677127341
2021-03-29,600834.SH,9704,11.247600401606393,109146.71429718843
2021-03-29,000920.SZ,98,6.850595238095244,671.3583333333339
2021-03-29,600313.SH,13072,8.052411290322596,105261.12038709696
2021-03-29,300468.SZ,11188,11.02492867132866,123346.90197482504
2021-03-29,300377.SZ,16,5.836184100418409,93.37894560669454
2021-03-29,002222.SZ,6223,17.75462361331216,110487.02274564156
2021-03-29,002042.SZ,86,3.098733108108103,266.49104729729686
2021-03-29,603103.SH,99,13.172541814495704,1304.0816396350747
2021-03-29,600015.SH,4351,5.436467532467533,23654.070233766233
2021-03-29,600138.SH,9005,13.835039062499993,124584.52675781243
2021-03-29,000045.SZ,11092,9.251295931758523,102615.37447506555
2021-03-29,002021.SZ,338,1.1390600000000006,385.0022800000002
2021-03-29,603038.SH,9174,10.345089165545089,94905.84800471064
2021-03-29,002483.SZ,89,5.387347775175647,479.4739519906326
2021-03-29,300893.SZ,3778,25.58262165450123,96651.14461070565
2021-03-29,601339.SH,791,5.223631840796016,4131.8927860696485
2021-03-29,000592.SZ,32591,3.261072664359862,106281.61920415227
2021-03-29,603220.SH,187,6.210655286343614,1161.3925385462558
2021-03-29,603661.SH,1087,92.91215749610149,100995.51519826232
2021-03-29,002425.SZ,1278,11.886205128205106,15190.570153846125
2021-03-29,001872.SZ,25,12.641534422403724,316.0383605600931
2021-03-29,000779.SZ,49,8.610009661835745,421.8904734299515
2021-03-29,601996.SH,23733,4.4966783216783295,106719.6666083918
2021-03-29,002675.SZ,4781,23.09801186017476,110431.59470349553
2021-03-29,603298.SH,2420,42.79499614494991,103563.89067077878
2021-03-29,000766.SZ,47928,2.1346727549467315,102310.59579908695
2021-03-29,603860.SH,6492,16.873054347826095,109539.86882608701
2021-03-29,002535.SZ,183,1.1898233215547696,217.73766784452283
2021-03-29,000002.SZ,3626,29.355267199017128,106442.1988636361
2021-03-29,603126.SH,102,24.90166666666672,2539.9700000000057
2021-03-29,300548.SZ,88,13.826678364987623,1216.7476961189109
2021-03-29,000011.SZ,633,20.882783911671925,13218.802216088328
2021-03-29,002688.SZ,20164,5.184406392694065,104538.37050228313
2021-03-29,603458.SH,96,14.92171532846716,1432.4846715328474
2021-03-29,603995.SH,314,35.9658198529412,11293.267433823537
2021-03-29,300721.SZ,71,62.76660213097711,4456.428751299375
2021-03-29,002471.SZ,94,2.549750000000001,239.6765000000001
2021-03-29,600678.SH,27810,4.078175203725258,113414.05241559942
2021-03-29,600053.SH,10468,9.024191991419366,94465.24176617793
2021-03-29,300465.SZ,290,11.60082441634243,3364.239080739305
2021-03-29,002661.SZ,207,20.38116854908773,4218.90188966116
2021-03-29,603279.SH,5102,19.421046882111927,99086.18119253505
2021-03-29,600035.SH,218,2.386046511627909,520.1581395348841
2021-03-29,300803.SZ,81,18.503328255902524,1498.7695887281045
2021-03-29,600755.SH,161,5.845128205128204,941.0656410256408
2021-03-30,002907.SZ,800,11.283203825463268,9026.563060370614
2021-03-30,000809.SZ,5100,1.8856066945606689,9616.594142259411
2021-03-30,601689.SH,100,62.6222153465347,6262.22153465347
2021-03-30,920971.BJ,1100,8.843521739130429,9727.873913043471
2021-03-30,002554.SZ,2000,4.853659539473688,9707.319078947377
2021-03-30,002524.SZ,800,10.942911153119091,8754.328922495273
2021-03-30,001914.SZ,500,18.249502811860943,9124.751405930472
2021-03-30,600333.SH,1300,7.336666666666665,9537.666666666664
2021-03-30,601919.SH,300,27.63530317164177,8290.590951492532
2021-03-30,002246.SZ,20,5.655838815789466,113.11677631578932
2021-03-30,300447.SZ,62,14.483011022044098,897.9466833667341
2021-03-30,300878.SZ,84,32.55338536525176,2734.484370681148
2021-03-30,002774.SZ,197,4.830441558441556,951.5969870129865
2021-03-30,000826.SZ,20261,4.441876344086023,89996.85660752692
2021-03-30,002033.SZ,408,10.60126190476192,4325.314857142863
2021-03-30,300562.SZ,222,18.56822957198443,4122.146964980543
2021-03-30,000958.SZ,98,3.837810283687939,376.10540780141804
2021-03-30,603659.SH,1212,107.36163255759578,130122.2986598061
